name,rating,genres,avg_user_rating,movieId
divergent,★½,"Adventure, Action, Science Fiction",2.9,108190.0
captain-america-the-winter-soldier,★★★,"Adventure, Science Fiction, Action",3.7,110102.0
cosmos-2014,★★★★,Documentary,4.4,182723.0
the-grand-budapest-hotel,★★★★,"Drama, Comedy",4.2,109374.0
the-babadook,★★★½,"Drama, Horror",3.3,
whiplash-2014,★★★★½,"Drama, Music",4.4,112552.0
the-wolf-of-wall-street,★★★½,"Comedy, Drama, Crime",4.0,106782.0
frozen-2013,★★★,"Fantasy, Animation, Adventure, Family",3.4,106696.0
the-hunger-games-catching-fire,★★★,"Science Fiction, Adventure, Action",3.9,106487.0
thor-the-dark-world,★★,"Action, Adventure, Fantasy",2.2,106072.0
her,★★★★½,"Science Fiction, Drama, Romance",4.0,106920.0
enemy,★★★★,"Mystery, Thriller",3.6,108729.0
oculus,★★★,Horror,3.2,110591.0
12-years-a-slave,★★★★,"History, Drama",4.2,105844.0
gravity-2013,★★★,"Thriller, Drama, Science Fiction",3.5,104841.0
elysium-2013,★★½,"Genre Films, Science Fiction, Drama, Thriller, Action",2.9,103253.0
snowpiercer,★★★★,"Drama, Science Fiction, Action",3.7,107406.0
pacific-rim,★★★,"Science Fiction, Adventure, Action",3.4,103228.0
world-war-z,★★½,"Horror, Action, Thriller, Science Fiction",3.2,103249.0
man-of-steel,★★½,"Action, Adventure, Science Fiction",3.0,103042.0
this-is-the-end,★★★,"Comedy, Action",3.2,102123.0
now-you-see-me,★★★,"Thriller, Crime",3.4,102903.0
iron-man-3,★★★,"Action, Adventure, Science Fiction",3.0,102125.0
we-are-the-best,★★★½,"Drama, Music",3.8,110461.0
blackfish,★★★★,Documentary,4.0,104272.0
django-unchained,★★★★½,"Drama, Western",4.3,99114.0
pitch-perfect,★★½,"Music, Comedy, Romance",3.5,96588.0
life-of-pi,★★★,"Drama, Adventure",3.7,97938.0
taken-2,★★,"Crime, Thriller, Action",2.6,96861.0
looper,★★★,"Science Fiction, Thriller, Action",3.6,96610.0
the-expendables-2,★★,"Action, Adventure, Thriller",2.7,91485.0
the-dark-knight-rises,★★★½,"Thriller, Drama, Crime, Action",3.8,91529.0
ice-age-continental-drift,★★½,"Adventure, Family, Comedy, Animation",2.8,95543.0
the-amazing-spider-man,★★★,"Science Fiction, Adventure, Action",3.4,95510.0
ted,★★★,"Fantasy, Comedy",3.0,95441.0
the-hunt-2012,★★★★½,Drama,4.3,96829.0
moonrise-kingdom,★★★★,"Romance, Drama, Comedy",4.0,94959.0
the-dictator-2012,★★★,Comedy,2.9,94677.0
men-in-black-3,★★★,"Comedy, Action, Science Fiction",3.1,94777.0
the-avengers-2012,★★★,"Science Fiction, Adventure, Action",3.7,89745.0
prometheus,★★★,"Science Fiction, Horror, Adventure, Mystery",3.3,94864.0
21-jump-street,★★★½,"Crime, Comedy, Action",3.6,93510.0
the-hunger-games,★★★,"Fantasy, Science Fiction, Adventure",3.7,91500.0
project-x-2012,★★,Comedy,3.3,93270.0
the-cabin-in-the-woods,★★★½,"Horror, Mystery",3.4,93840.0
sherlock-holmes-a-game-of-shadows,★★★,"Crime, Mystery, Action, Adventure",3.3,91542.0
in-time,★★★,"Thriller, Action, Science Fiction",2.9,90405.0
real-steel,★★★,"Action, Drama, Science Fiction",3.4,90249.0
the-intouchables,★★★★,"Drama, Comedy",4.1,92259.0
50-50,★★★½,"Comedy, Drama",3.6,89864.0
rise-of-the-planet-of-the-apes,★★★½,"Thriller, Science Fiction, Action, Drama",3.7,88744.0
captain-america-the-first-avenger,★★★,"Science Fiction, Action, Adventure",3.3,88140.0
friends-with-benefits,★★★,"Comedy, Romance",2.9,88405.0
harry-potter-and-the-deathly-hallows-part-2,★★★★,"Fantasy, Adventure",4.0,88125.0
transformers-dark-of-the-moon,★★½,"Action, Science Fiction, Adventure",2.7,87520.0
x-men-first-class,★★★,"Adventure, Action, Science Fiction",3.6,87232.0
the-hangover-part-ii,★★★,Comedy,3.0,86911.0
pirates-of-the-caribbean-on-stranger-tides,★★½,"Adventure, Fantasy, Action",2.9,86880.0
paul-2011,★★★,"Science Fiction, Comedy, Adventure",3.1,84772.0
harry-potter-and-the-deathly-hallows-part-1,★★★★,"Fantasy, Adventure",3.7,81834.0
jackass-3d,★★★,"Comedy, Documentary, Action",3.4,81156.0
the-social-network,★★★,Drama,3.9,80463.0
127-hours,★★½,"Adventure, Thriller, Drama",3.5,81562.0
simple-simon,★★★½,"Comedy, Drama",3.8,84234.0
black-swan,★★★★,"Drama, Thriller, Horror",4.2,81591.0
the-other-guys,★★★,"Crime, Thriller, Action, Comedy",3.3,79592.0
scott-pilgrim-vs-the-world,★★,"Comedy, Romance, Action",3.9,79702.0
